Latitud,Longitud
-81.9307, -40.4620
60.0842, 25.5120
-80.6466, 67.5360
-70.0213, -139.1262
20.7245, -174.1304
86.2403, 11.1175
43.2629, -126.8528
63.2465, -1.1594
-25.5410, 159.5362
2.2789, -56.2088
-45.3928, -81.9531
-15.6512, -167.4293
0.0005, 61.3082
2.3422, 124.1647
-86.6755, -156.5399
56.3743, -21.6912
13.9342, -20.2537
7.7702, -172.3071
88.5171, 157.4350
-44.6351, 117.9256
58.6297, -4.9812
-26.3272, -72.8706
12.0246, -33.6031
23.1969, -13.9480
82.2203, -49.7895
13.2095, 134.8217
59.3882, 115.9803
56.8610, 27.2721
48.2989, -169.8147
67.8372, -146.5587
-36.0906, -100.2049
24.1977, 86.7602
43.0969, 47.0441
23.3811, -164.1100
-43.0409, -75.1579
-42.9079, 59.9672
66.7746, 43.1653
-47.5551, -9.5679
-32.7741, 157.9902
19.1216, 36.2265
54.6058, 4.8855
57.8569, 63.2028
-72.5634, -0.5297
-65.8483, 109.5530
33.8289, 61.9044
-54.7893, -55.2628
23.9227, -22.4172
-1.8183, -46.8828
-54.1078, 138.7767
20.8353, -92.3313
-4.3910, 140.1546
-1.4490, -161.1131
-23.6475, -24.6335
-70.7692, -75.7755
34.3592, -164.2988
-48.1162, 148.6985
77.9853, -140.7980
-38.5984, -145.1314
-65.3571, -113.5895
86.0949, 23.4421
-46.7768, -99.5590
-58.2633, 150.5167
-27.7657, 117.6264
40.0192, -179.0530
-82.9193, 99.2449
69.1405, -129.5791
5.8468, 159.9092
-26.1067, -110.3470
-60.7020, -141.5049
83.4785, 15.8397
-30.6479, -27.2540
-0.5699, 133.8252
-30.3584, 2.5681
-19.4498, -69.0332
-73.6835, -172.6501
80.5842, 173.4184
-65.0412, 123.7164
4.0295, -125.5876
14.3793, 49.4074
16.2162, 80.9520
84.5002, -65.0159
35.2308, -46.1444
38.7868, 169.7806
-89.8835, -165.2528
33.2487, -132.1259
40.1616, -169.2759
42.0140, -156.6180
-58.0576, -45.5060
-35.0757, -58.6587
87.6820, 115.0290
-42.1001, -57.3164
-72.2343, 133.1574
13.2717, 106.8196
76.0057, -141.9587
22.3506, -163.3788
6.2466, 165.7768
35.3978, 43.7593
-59.3453, -174.7639
34.0074, -23.7509
-7.4858, -77.7221
27.9424, -86.9040
27.1888, -171.6110
-63.7580, -70.0988
-87.2741, 171.6189
45.9116, 144.3511
7.4386, -135.0636
-46.0373, 8.5754
-67.3349, -65.5944
75.2628, 36.9059
37.9945, -14.9613
-62.8376, 43.8501
47.8862, -85.4962
-7.8834, -30.1080
16.7520, -6.5582
72.5515, -132.7378
48.6013, -132.7906
24.7751, 78.9469
-87.6916, 59.5465
-87.6477, -117.8026
82.3357, -9.4860
-39.2528, -74.8975
-54.1591, -139.6424
44.5258, -62.9228
32.0754, 53.3492
2.1969, -168.0518
-64.6235, 16.6782
-0.8582, -44.6983
-21.1077, 102.3811
87.6175, -77.6472
55.1339, 16.7782
61.9231, -60.6714
-1.8354, -41.4020
30.8551, 121.8446
-33.0961, -149.2651
-54.6438, 42.6848
29.0765, -29.8374
30.4829, -110.6871
-45.0593, 175.6360
-74.3569, 154.5177
40.8615, -73.7512
77.9024, -145.9997
-50.2233, 29.8313
-41.8549, -5.0360
46.4379, 174.4312
-40.5547, 17.8703
-45.7565, -119.6341
-81.6285, 40.9620
24.4186, -130.6914
-44.3649, -14.2919
-6.8482, 60.9246
-9.9937, -125.5532
-4.3570, -99.4860
63.3880, 117.8493
84.8263, 154.4984
-17.1968, 179.1046
-4.4726, 47.7955
-31.1256, 92.1381
-77.6232, -82.9813
-6.5767, -158.1461
-74.6637, -159.5268
-45.3553, -2.4082
-70.1036, 2.7157
-77.7139, 25.3811
37.3465, 55.8601
-31.9342, 24.7559
-26.6668, 70.8633
24.5025, 177.6302
67.3062, -102.1061
0.9515, -78.0372
38.5595, -81.5274
27.0525, -117.4356
60.1471, -11.0529
19.1552, 63.9737
-21.4118, 39.9353
89.9450, 100.7711
73.2409, 142.6956
-86.2085, -165.3009
-63.3445, -7.1348
21.3710, 100.7399
-34.9738, -152.9051
-6.5216, -116.7114
-40.7535, -29.4037
-86.7640, 7.1183
86.6776, 110.9642
24.4060, -157.4933
-72.6859, 97.6044
71.9227, -71.5969
-16.5006, -176.9121
-84.1331, 38.4115
2.3320, 30.0993
47.3364, 90.5915
13.5513, 80.6697
62.9644, 135.8031
41.8854, 94.2507
-42.1587, 152.5319
-56.1644, -26.6803
89.5563, 88.1121
72.5737, 80.3558
9.1969, -34.0518
